3268,william,2,33,58000.0
4421,oliver,4,68,93000.0
6200,camila,4,28,53000.0
9860,hannah,2,63,88000.0
8991,sophia,2,61,86000.0
6068,james,11,75,100000.0
4219,hannah,5,63,88000.0
3856,olivia,1,56,81000.0
8276,james,10,61,86000.0
4303,hannah,12,41,66000.0
1638,camila,7,26,51000.0
9702,noah,11,51,76000.0
6449,oliver,3,55,80000.0
4253,liam,9,69,94000.0
1439,emma,10,69,94000.0
9523,sophia,5,55,80000.0
4083,james,7,37,62000.0
5957,oliver,4,35,60000.0
6025,oliver,12,63,88000.0
2500,olivia,3,32,57000.0
1799,camila,2,53,78000.0
9076,noah,5,34,59000.0
4810,liam,11,48,73000.0
4640,noah,11,52,77000.0
2038,noah,11,48,73000.0
5974,liam,6,44,69000.0
3660,james,10,73,98000.0
3673,camila,12,50,75000.0
3610,james,3,75,100000.0
8182,hannah,6,39,64000.0
9812,oliver,1,41,66000.0
4185,james,2,62,87000.0
5014,camila,6,57,82000.0
7702,olivia,9,71,96000.0
4323,oliver,7,26,51000.0
2791,noah,4,73,98000.0
7313,james,4,36,61000.0
7838,oliver,2,72,97000.0
3188,james,4,64,89000.0
9886,emma,11,58,83000.0
2833,liam,6,68,93000.0
6942,emma,2,75,100000.0
7903,camila,3,47,72000.0
4481,noah,3,34,59000.0
8769,william,1,57,82000.0
7185,william,6,63,88000.0
6479,emma,6,58,83000.0
9300,hannah,1,31,56000.0
4681,olivia,8,60,85000.0
5208,james,11,30,55000.0
1606,oliver,3,64,89000.0
7326,olivia,12,46,71000.0
5207,oliver,6,73,98000.0
8896,liam,10,64,89000.0
6607,emma,12,65,90000.0
5277,oliver,9,53,78000.0
2297,william,6,47,72000.0
7667,olivia,4,50,75000.0
2176,liam,12,48,73000.0
9779,oliver,8,34,59000.0
2078,james,4,57,82000.0
8214,james,4,29,54000.0
1593,hannah,10,71,96000.0
7596,emma,11,31,56000.0
5850,olivia,2,59,84000.0
9507,william,10,71,96000.0
3169,william,6,41,66000.0
4684,noah,6,60,85000.0
7503,liam,8,42,67000.0
1962,hannah,10,60,85000.0
2759,liam,12,41,66000.0
8000,sophia,11,39,64000.0
4399,james,6,72,97000.0
5820,james,11,34,59000.0
5834,noah,6,56,81000.0
9946,oliver,4,31,56000.0
3936,james,10,29,54000.0
9987,olivia,6,29,54000.0
2316,liam,6,58,83000.0
1479,liam,7,27,52000.0
8028,james,4,38,63000.0
9709,oliver,10,37,62000.0
7766,noah,9,41,66000.0
7323,james,8,68,93000.0
4508,sophia,4,41,66000.0
4974,emma,5,39,64000.0
9341,camila,2,33,58000.0
5214,oliver,10,69,94000.0
1784,liam,4,74,99000.0
6879,liam,5,31,56000.0
6939,oliver,5,36,61000.0
2792,james,4,57,82000.0
4231,oliver,6,48,73000.0
5151,camila,1,72,97000.0
6517,oliver,6,65,90000.0
6341,hannah,10,72,97000.0
1861,william,6,40,65000.0
5828,noah,3,69,94000.0
4283,olivia,4,52,77000.0
1678,hannah,4,58,83000.0
7575,olivia,9,26,51000.0
5289,oliver,4,69,94000.0
6428,sophia,1,65,90000.0
1588,olivia,8,30,55000.0
7850,emma,2,26,51000.0
2598,noah,11,45,70000.0
9147,noah,3,67,92000.0
9872,william,5,75,100000.0
9742,camila,9,59,84000.0
3422,oliver,10,57,82000.0
3264,sophia,10,56,81000.0
1534,sophia,2,67,92000.0
8836,liam,1,68,93000.0
4346,sophia,9,75,100000.0
7622,liam,11,75,100000.0
8123,olivia,10,51,76000.0
6190,james,9,52,77000.0
8951,sophia,4,73,98000.0
4543,liam,12,73,98000.0
6183,sophia,8,53,78000.0
2848,liam,9,65,90000.0
6256,james,4,50,75000.0
3996,sophia,5,31,56000.0
5137,sophia,3,36,61000.0
3193,camila,8,36,61000.0
4312,sophia,8,35,60000.0
8108,sophia,7,75,100000.0
2562,oliver,4,47,72000.0
9978,noah,1,43,68000.0
3403,william,6,38,63000.0
8309,emma,9,27,52000.0
2942,noah,8,33,58000.0
1505,oliver,8,57,82000.0
5661,camila,3,63,88000.0
5735,emma,5,32,57000.0
3685,oliver,6,58,83000.0
4139,noah,2,28,53000.0
8829,william,3,44,69000.0
6541,oliver,3,47,72000.0
9281,noah,11,56,81000.0
6511,olivia,9,27,52000.0
1858,liam,1,31,56000.0
8886,william,11,69,94000.0
8531,james,11,38,63000.0
8819,sophia,12,53,78000.0
4246,camila,10,29,54000.0
7242,sophia,1,63,88000.0
9755,james,7,32,57000.0
5584,hannah,9,75,100000.0
4994,noah,3,44,69000.0
4656,william,9,66,91000.0
8104,hannah,1,32,57000.0
7906,olivia,1,36,61000.0
5824,sophia,6,40,65000.0
4272,olivia,12,64,89000.0
1469,hannah,5,44,69000.0
7377,liam,5,75,100000.0
2176,james,6,36,61000.0
5718,james,5,59,84000.0
3240,noah,8,41,66000.0
2821,william,2,69,94000.0
9711,william,11,33,58000.0
5048,noah,8,25,50000.0
9420,william,9,70,95000.0
4355,hannah,10,35,60000.0
8216,sophia,11,57,82000.0
7121,oliver,12,75,100000.0
9683,hannah,3,45,70000.0
2182,camila,3,62,87000.0
3832,sophia,2,35,60000.0
3186,sophia,8,51,76000.0
6313,hannah,2,65,90000.0
5716,liam,10,66,91000.0
9458,oliver,2,29,54000.0
8344,hannah,6,65,90000.0
8900,hannah,7,71,96000.0
8953,oliver,10,39,64000.0
1616,james,4,46,71000.0
5167,james,4,38,63000.0
4709,noah,2,39,64000.0
2719,sophia,3,52,77000.0
7754,liam,11,33,58000.0
3824,william,1,64,89000.0
3470,james,12,43,68000.0
6971,hannah,1,72,97000.0
2712,sophia,12,58,83000.0
4427,oliver,10,30,55000.0
2199,camila,10,69,94000.0
8323,oliver,2,71,96000.0
5592,william,3,32,57000.0
6949,oliver,11,73,98000.0
7194,noah,11,49,74000.0
6479,oliver,3,42,67000.0
6063,james,7,27,52000.0
6114,sophia,5,38,63000.0
5448,james,4,55,80000.0
3578,liam,2,51,76000.0
9343,james,1,74,99000.0
2785,hannah,5,56,81000.0
9960,sophia,8,66,91000.0
2660,oliver,9,33,58000.0
1593,emma,1,67,92000.0
5232,olivia,6,66,91000.0
4848,noah,1,61,86000.0
4634,william,3,43,68000.0
4131,noah,7,42,67000.0
7480,sophia,10,41,66000.0
9285,emma,4,75,100000.0
8599,emma,5,34,59000.0
4555,emma,1,43,68000.0
4879,oliver,7,40,65000.0
4729,hannah,1,59,84000.0
3984,hannah,3,71,96000.0
2183,emma,3,65,90000.0
9612,noah,10,25,50000.0
5675,james,6,35,60000.0
2695,sophia,10,38,63000.0
1347,camila,6,62,87000.0
2279,oliver,12,70,95000.0
4698,oliver,10,45,70000.0
8674,emma,11,53,78000.0
4934,camila,10,63,88000.0
9930,noah,3,39,64000.0
4540,oliver,4,31,56000.0
7634,noah,7,32,57000.0
6964,oliver,9,73,98000.0
8658,emma,3,32,57000.0
5378,emma,4,34,59000.0
9695,hannah,9,51,76000.0
3791,william,10,55,80000.0
7943,james,8,30,55000.0
9295,camila,12,30,55000.0
1314,hannah,11,63,88000.0
5518,william,8,62,87000.0
9073,camila,8,68,93000.0
8418,sophia,7,41,66000.0
4626,olivia,8,54,79000.0
3086,oliver,5,32,57000.0
6146,camila,12,25,50000.0
8710,oliver,2,72,97000.0
7014,oliver,12,54,79000.0
5325,liam,3,25,50000.0
1592,james,4,57,82000.0
8388,sophia,10,71,96000.0
4654,emma,6,42,67000.0
6854,olivia,2,49,74000.0
9802,oliver,2,68,93000.0
5592,liam,8,66,91000.0
6441,hannah,9,35,60000.0
4366,noah,5,53,78000.0
7771,william,4,73,98000.0
4619,james,4,61,86000.0
9409,emma,8,57,82000.0
4841,hannah,11,25,50000.0
3279,emma,1,41,66000.0
6303,oliver,2,56,81000.0
4355,sophia,2,46,71000.0
8234,hannah,7,55,80000.0
4792,hannah,7,30,55000.0
5510,oliver,9,71,96000.0
3180,camila,7,40,65000.0
6951,oliver,3,62,87000.0
6721,noah,10,75,100000.0
3721,james,3,65,90000.0
6803,olivia,9,70,95000.0
4874,emma,6,25,50000.0
9388,liam,4,34,59000.0
2367,emma,5,67,92000.0
1899,camila,11,47,72000.0
2050,james,7,55,80000.0
1351,william,3,50,75000.0
9249,hannah,1,62,87000.0
9618,william,3,44,69000.0
1387,emma,11,30,55000.0
8756,oliver,2,52,77000.0
3653,emma,6,41,66000.0
4569,liam,1,72,97000.0
1277,liam,10,46,71000.0
3384,noah,9,44,69000.0
9953,james,11,46,71000.0
5170,sophia,1,58,83000.0
8032,camila,2,40,65000.0
3377,emma,5,42,67000.0
5139,camila,10,44,69000.0
3318,olivia,7,68,93000.0
6405,noah,12,38,63000.0
4264,camila,3,51,76000.0
7265,noah,7,75,100000.0
7118,james,7,35,60000.0
3366,noah,3,26,51000.0
5641,noah,3,39,64000.0
7625,noah,8,25,50000.0
7530,sophia,4,41,66000.0
6225,oliver,12,69,94000.0
3854,liam,5,68,93000.0
3393,liam,2,57,82000.0
3824,william,9,40,65000.0
2546,william,12,31,56000.0
4121,william,5,26,51000.0
3666,oliver,10,49,74000.0
5901,james,7,56,81000.0
8969,emma,6,74,99000.0
2712,james,7,48,73000.0
7237,oliver,11,55,80000.0
8382,emma,12,71,96000.0
4189,sophia,3,57,82000.0
2906,hannah,8,57,82000.0
7421,hannah,5,42,67000.0
4446,camila,9,50,75000.0
2288,sophia,12,38,63000.0
4817,william,8,39,64000.0
6835,noah,12,42,67000.0
6351,camila,4,33,58000.0
9211,sophia,7,65,90000.0
5644,noah,5,49,74000.0
8630,olivia,5,57,82000.0
7818,oliver,4,53,78000.0
6944,noah,3,33,58000.0
4539,liam,8,42,67000.0
4377,james,6,25,50000.0
7576,olivia,2,39,64000.0
6779,camila,3,59,84000.0
9991,liam,10,48,73000.0
4231,sophia,11,63,88000.0
7648,liam,7,67,92000.0
8657,emma,11,64,89000.0
7042,sophia,9,43,68000.0
8383,james,6,40,65000.0
3714,sophia,9,45,70000.0
5325,olivia,10,46,71000.0
7061,liam,1,39,64000.0
9550,camila,6,64,89000.0
2011,noah,2,75,100000.0
4717,noah,8,43,68000.0
6916,emma,7,61,86000.0
3806,emma,12,60,85000.0
2267,emma,2,63,88000.0
7664,olivia,4,33,58000.0
4219,james,3,27,52000.0
4642,liam,9,27,52000.0
5261,emma,8,67,92000.0
5823,sophia,11,38,63000.0
4450,noah,8,36,61000.0
8890,william,9,48,73000.0
5409,oliver,11,31,56000.0
1653,sophia,2,69,94000.0
3740,olivia,5,39,64000.0
3404,liam,1,61,86000.0
7056,camila,4,30,55000.0
8302,hannah,10,75,100000.0
3133,sophia,10,37,62000.0
5071,oliver,3,43,68000.0
6803,emma,1,69,94000.0
2128,noah,7,52,77000.0
2889,oliver,9,25,50000.0
3904,liam,7,51,76000.0
